# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 999, i.e. number of multipoles equal to 998
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:lens[1]-lens[1]        3:lens[1]-lens[2]        4:lens[2]-lens[2]    
  151       1.330846281245e-14       3.105361487519e-14       1.273881104749e-13 
  152       1.303564208732e-14       3.041290731398e-14       1.247252452898e-13 
  153       1.277064960485e-14       2.979077419351e-14       1.221396297640e-13 
  154       1.251323729225e-14       2.918662314939e-14       1.196288091512e-13 
  155       1.226312196313e-14       2.859977860065e-14       1.171899835122e-13 
  156       1.201998459930e-14       2.802948004976e-14       1.148200006640e-13 
  157       1.178346963258e-14       2.747488038269e-14       1.125153491279e-13 
  158       1.155318422658e-14       2.693504416896e-14       1.102721510786e-13 
  159       1.132869755851e-14       2.640894596161e-14       1.080861552925e-13 
  160       1.110954010095e-14       2.589546859729e-14       1.059527300965e-13 
  161       1.089529639600e-14       2.539362325722e-14       1.038677763073e-13 
  162       1.068589410538e-14       2.490323508841e-14       1.018305715794e-13 
  163       1.048133926818e-14       2.442431524713e-14       9.984116528510e-14 
  164       1.028162482177e-14       2.395684391684e-14       9.789947835037e-14 
  165       1.008673031371e-14       2.350076962854e-14       9.600530043647e-14 
  166       9.896621613704e-15       2.305600858110e-14       9.415828712120e-14 
  167       9.711250625525e-15       2.262244396154e-14       9.235795708036e-14 
  168       9.530554998979e-15       2.219992526542e-14       9.060368926909e-14 
  169       9.354457841827e-15       2.178826761715e-14       8.889472010331e-14 
  170       9.182867431734e-15       2.138725109030e-14       8.723014064111e-14 
  171       9.015676928201e-15       2.099662002792e-14       8.560889376413e-14 
  172       8.852764084514e-15       2.061608236291e-14       8.402977135895e-14 
  173       8.693990959679e-15       2.024530893832e-14       8.249141149851e-14 
  174       8.539203630362e-15       1.988393282768e-14       8.099229562349e-14 
  175       8.388231902831e-15       1.953154865531e-14       7.953074572372e-14 
  176       8.240889024896e-15       1.918771191670e-14       7.810492151955e-14 
  177       8.096971397850e-15       1.885193829879e-14       7.671281764324e-14 
  178       7.956258288404e-15       1.852370300031e-14       7.535226082042e-14 
  179       7.818511540636e-15       1.820244005210e-14       7.402090705140e-14 
  180       7.683521983106e-15       1.788765233058e-14       7.271669672994e-14 
  181       7.551253377036e-15       1.757925279663e-14       7.143926634209e-14 
  182       7.421709383787e-15       1.727724913914e-14       7.018864382938e-14 
  183       7.294887782677e-15       1.698163524937e-14       6.896479961161e-14 
  184       7.170780354912e-15       1.669239094901e-14       6.776764545498e-14 
  185       7.049372767515e-15       1.640948171820e-14       6.659703334014e-14 
  186       6.930644457252e-15       1.613285842356e-14       6.545275433030e-14 
  187       6.814568514571e-15       1.586245704626e-14       6.433453743931e-14 
  188       6.701111567520e-15       1.559819841004e-14       6.324204849977e-14 
  189       6.590233665688e-15       1.533998790924e-14       6.217488903108e-14 
  190       6.481888164127e-15       1.508771523683e-14       6.113259510758e-14 
  191       6.376021607283e-15       1.484125411249e-14       6.011463622658e-14 
  192       6.272573612932e-15       1.460046201059e-14       5.912041417650e-14 
  193       6.171476756100e-15       1.436517988827e-14       5.814926190493e-14 
  194       6.072656453001e-15       1.413523191347e-14       5.720044238673e-14 
  195       5.976030844961e-15       1.391042519293e-14       5.627314749212e-14 
